"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","WASTEMUN","TOT","THND_TONNE","A","1980",10000,
"AUS","WASTEMUN","TOT","THND_TONNE","A","1992",12000,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2000",13200,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2007",12885.684,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2008",13096.5,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2009",13343.236,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2010",13560.506,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2011",13472.495,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2012",13572.33,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2013",13694.67,"E"
"AUS","WASTEMUN","TOT","THND_TONNE","A","2014",13789.384,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2015",13964.23,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2016",13019.29,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2017",12605.342,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2018",12641.478,
"AUS","WASTEMUN","TOT","THND_TONNE","A","2019",12571.73,
"AUS","WASTEMUN","TOT","KG_CAP","A","1980",685.476,
"AUS","WASTEMUN","TOT","KG_CAP","A","1992",689.569,
"AUS","WASTEMUN","TOT","KG_CAP","A","2000",695.05,
"AUS","WASTEMUN","TOT","KG_CAP","A","2007",616.058,
"AUS","WASTEMUN","TOT","KG_CAP","A","2008",613.928,
"AUS","WASTEMUN","TOT","KG_CAP","A","2009",613.458,
"AUS","WASTEMUN","TOT","KG_CAP","A","2010",612.083,
"AUS","WASTEMUN","TOT","KG_CAP","A","2011",597.768,
"AUS","WASTEMUN","TOT","KG_CAP","A","2012",592.576,
"AUS","WASTEMUN","TOT","KG_CAP","A","2013",588.894,
"AUS","WASTEMUN","TOT","KG_CAP","A","2014",584.384,
"AUS","WASTEMUN","TOT","KG_CAP","A","2015",583.484,
"AUS","WASTEMUN","TOT","KG_CAP","A","2016",536.597,
"AUS","WASTEMUN","TOT","KG_CAP","A","2017",512.733,
"AUS","WASTEMUN","TOT","KG_CAP","A","2018",507.728,
"AUS","WASTEMUN","TOT","KG_CAP","A","2019",498.815,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1989",3150,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1990",3204,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1991",3126,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1992",3176,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1993",3341,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1994",3400,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1995",3476,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1996",4110,"B"
"AUT","WASTEMUN","TOT","THND_TONNE","A","1997",4241,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1998",4240,
"AUT","WASTEMUN","TOT","THND_TONNE","A","1999",4496,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2000",4646,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2001",4634,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2002",4914,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2003",4932,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2004",4686.7,
"AUT","WASTEMUN","TOT","THND_TONNE","A","2005",4731.7,
